GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Flag4j,com.flag4j.util,ArrayUtils,262,1068,27,101,43,185,25,84,10,35
Flag4j,com.flag4j.util,Axis2D,0,34,0,0,0,6,0,4,0,4
Flag4j,com.flag4j.util,RandomTensor,652,0,24,0,93,0,59,0,47,0
Flag4j,com.flag4j.util,ErrorMessages,104,176,0,0,8,17,7,16,7,16
Flag4j,com.flag4j.util,RandomCNumber,179,17,14,0,25,6,16,2,9,2
Flag4j,com.flag4j.util,SparseDataWrapper,518,0,54,0,73,0,40,0,13,0
Flag4j,com.flag4j.util,StringUtils,7,59,1,5,2,11,2,6,1,4
Flag4j,com.flag4j.util,ParameterChecks,89,379,17,59,17,78,16,45,5,18
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseElemMult,41,37,1,3,8,7,4,3,3,2
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseProperties,126,27,16,4,24,6,11,3,3,1
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseEquals,7,24,0,4,2,2,1,4,1,2
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseMatrixMultTranspose,7,426,0,32,2,80,1,22,1,6
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseSetOperations,7,381,0,28,2,53,1,26,1,12
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseTranspose,183,631,14,46,34,131,14,40,5,19
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseMatrixMultiplication,7,1151,0,84,2,220,1,60,1,18
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseTensorDot,7,429,0,18,2,61,1,11,1,2
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseOperations,287,353,20,32,47,64,18,31,8,15
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseVectorOperations,7,85,0,6,2,11,1,5,1,2
Flag4j,com.flag4j.operations.dense.complex,AggregateDenseComplex,7,56,0,8,2,14,1,6,1,2
Flag4j,com.flag4j.operations.dense.complex,ComplexDenseElemDiv,41,37,1,3,8,7,4,3,3,2
Flag4j,com.flag4j.operations.dense_sparse.complex,ComplexDenseSparseMatrixMultiplication,7,628,4,38,2,109,5,32,1,15
Flag4j,com.flag4j.operations.dense_sparse.complex,ComplexDenseSparseMatrixMultTranspose,7,70,0,4,2,13,1,3,1,1
Flag4j,com.flag4j.operations.dense_sparse.complex,ComplexDenseSparseEquals,12,208,3,21,5,43,4,12,1,3
Flag4j,com.flag4j.operations.dense_sparse.complex,ComplexDenseSparseOperations,87,350,4,16,14,46,5,16,3,8
Flag4j,com.flag4j.operations.dense_sparse.complex,ComplexDenseSparseVectorOperations,94,259,4,16,12,37,5,15,3,7
Flag4j,com.flag4j.core,TensorBase,35,26,6,0,5,8,5,5,2,5
Flag4j,com.flag4j.core,SparseTensorBase,43,31,0,2,7,6,3,2,3,1
Flag4j,com.flag4j.core,RealDenseTensorBase,10,432,0,4,1,62,1,40,1,38
